---,Name
4192,"NSLOCTEXT("""", ""ItemTable_4192_Name"", ""Battle Spatula"")"
4193,"NSLOCTEXT("""", ""ItemTable_4193_Name"", ""Dead Leg"")"
4194,"NSLOCTEXT("""", ""ItemTable_4194_Name"", ""Table Leg"")"
4195,"NSLOCTEXT("""", ""ItemTable_4195_Name"", ""Practice Sword"")"
4196,"NSLOCTEXT("""", ""ItemTable_4196_Name"", ""Gravedigger"")"
4197,"NSLOCTEXT("""", ""ItemTable_4197_Name"", ""Practice Great Sword"")"
4220,"NSLOCTEXT("""", ""ItemTable_4220_Name"", ""Four-Sided Die"")"
4221,"NSLOCTEXT("""", ""ItemTable_4221_Name"", ""Six-Sided Die"")"
4222,"NSLOCTEXT("""", ""ItemTable_4222_Name"", ""Eight-Sided Die"")"
4223,"NSLOCTEXT("""", ""ItemTable_4223_Name"", ""Ten-Sided Die"")"
4224,"NSLOCTEXT("""", ""ItemTable_4224_Name"", ""Twelve-Sided Die"")"
4225,"NSLOCTEXT("""", ""ItemTable_4225_Name"", ""Twenty-Sided Die"")"
4230,"NSLOCTEXT("""", ""ItemTable_4230_Name"", ""Painting"")"
4231,"NSLOCTEXT("""", ""ItemTable_4231_Name"", ""Painting"")"
4232,"NSLOCTEXT("""", ""ItemTable_4232_Name"", ""Painting"")"
4233,"NSLOCTEXT("""", ""ItemTable_4233_Name"", ""Painting"")"
4234,"NSLOCTEXT("""", ""ItemTable_4234_Name"", ""Painting"")"
4235,"NSLOCTEXT("""", ""ItemTable_4235_Name"", ""Painting"")"
4236,"NSLOCTEXT("""", ""ItemTable_4236_Name"", ""Painting"")"
4237,"NSLOCTEXT("""", ""ItemTable_4237_Name"", ""Painting"")"
4238,"NSLOCTEXT("""", ""ItemTable_4238_Name"", ""Painting"")"
4239,"NSLOCTEXT("""", ""ItemTable_4239_Name"", ""Painting"")"
10001,"NSLOCTEXT("""", ""ItemTable_10001_Name"", ""Stone"")"
10002,"NSLOCTEXT("""", ""ItemTable_10002_Name"", ""Queen Bee"")"
10003,"NSLOCTEXT("""", ""ItemTable_10003_Name"", ""Worker Bee"")"
10005,"NSLOCTEXT("""", ""ItemTable_10005_Name"", ""Bark"")"
10010,"NSLOCTEXT("""", ""ItemTable_10010_Name"", ""Corrupted Bone"")"
10011,"NSLOCTEXT("""", ""ItemTable_10011_Name"", ""Wood"")"
10012,"NSLOCTEXT("""", ""ItemTable_10012_Name"", ""Branch"")"
10020,"NSLOCTEXT("""", ""ItemTable_10020_Name"", ""Khari Steel"")"
10021,"NSLOCTEXT("""", ""ItemTable_10021_Name"", ""Bone"")"
10022,"NSLOCTEXT("""", ""ItemTable_10022_Name"", ""Dragonbone"")"
10023,"NSLOCTEXT("""", ""ItemTable_10023_Name"", ""Dragonhorn"")"
10024,"NSLOCTEXT("""", ""ItemTable_10024_Name"", ""Ice Shard"")"
11001,"NSLOCTEXT("""", ""ItemTable_11001_Name"", ""Ironstone"")"
11011,"NSLOCTEXT("""", ""ItemTable_11011_Name"", ""Coal"")"
11012,"NSLOCTEXT("""", ""ItemTable_11012_Name"", ""Tablet of Power"")"
11013,"NSLOCTEXT("""", ""ItemTable_11013_Name"", ""Essence of Rot"")"
11016,"NSLOCTEXT("""", ""ItemTable_11016_Name"", ""Inner Sanctum Key"")"
11017,"NSLOCTEXT("""", ""ItemTable_11017_Name"", ""Key Fragment"")"
11018,"NSLOCTEXT("""", ""ItemTable_11018_Name"", ""Key to the Arena"")"
11019,"NSLOCTEXT("""", ""ItemTable_11019_Name"", ""The Warmaker\'s Key"")"
11020,"NSLOCTEXT("""", ""ItemTable_11020_Name"", ""Bronze Coin"")"
11021,"NSLOCTEXT("""", ""ItemTable_11021_Name"", ""Black Blood"")"
11022,"NSLOCTEXT("""", ""ItemTable_11022_Name"", ""Red Crystal"")"
11023,"NSLOCTEXT("""", ""ItemTable_11023_Name"", ""Blue Crystal"")"
11024,"NSLOCTEXT("""", ""ItemTable_11024_Name"", ""Green Crystal"")"
11025,"NSLOCTEXT("""", ""ItemTable_11025_Name"", ""Rare Spices"")"
11026,"NSLOCTEXT("""", ""ItemTable_11026_Name"", ""Torn Rags"")"
11027,"NSLOCTEXT("""", ""ItemTable_11027_Name"", ""Tablet of Knowledge"")"
11028,"NSLOCTEXT("""", ""ItemTable_11028_Name"", ""Blue Feather"")"
11029,"NSLOCTEXT("""", ""ItemTable_11029_Name"", ""Black Feather"")"
11030,"NSLOCTEXT("""", ""ItemTable_11030_Name"", ""Obsidian Shard"")"
11031,"NSLOCTEXT("""", ""ItemTable_11031_Name"", ""Obsidian Gem"")"
11032,"NSLOCTEXT("""", ""ItemTable_11032_Name"", ""Pouch"")"
11033,"NSLOCTEXT("""", ""ItemTable_11033_Name"", ""Inert Radium Gem"")"
11034,"NSLOCTEXT("""", ""ItemTable_11034_Name"", ""Scales"")"
11035,"NSLOCTEXT("""", ""ItemTable_11035_Name"", ""Volcanic Flower"")"
11036,"NSLOCTEXT("""", ""ItemTable_11036_Name"", ""Rusted Key"")"
11037,"NSLOCTEXT("""", ""ItemTable_11037_Name"", ""Key"")"
11038,"NSLOCTEXT("""", ""ItemTable_11038_Name"", ""Golden Key"")"
11039,"NSLOCTEXT("""", ""ItemTable_11039_Name"", ""Silver Key"")"
11040,"NSLOCTEXT("""", ""ItemTable_11040_Name"", ""Glowing Gem"")"
11041,"NSLOCTEXT("""", ""ItemTable_11041_Name"", ""Glowing Blue Gem"")"
11042,"NSLOCTEXT("""", ""ItemTable_11042_Name"", ""Glowing Green Gem"")"
11043,"NSLOCTEXT("""", ""ItemTable_11043_Name"", ""Glowing Red Gem"")"
11044,"NSLOCTEXT("""", ""ItemTable_11044_Name"", ""Journal"")"
11045,"NSLOCTEXT("""", ""ItemTable_11045_Name"", ""Insignia of Derketo"")"
11046,"NSLOCTEXT("""", ""ItemTable_11046_Name"", ""Insignia of Jhebbal Sag"")"
11047,"NSLOCTEXT("""", ""ItemTable_11047_Name"", ""Insignia of Mitra"")"
11048,"NSLOCTEXT("""", ""ItemTable_11048_Name"", ""Insignia of Set"")"
11049,"NSLOCTEXT("""", ""ItemTable_11049_Name"", ""Insignia of Ymir"")"
11050,"NSLOCTEXT("""", ""ItemTable_11050_Name"", ""Insignia of Yog"")"
11051,"NSLOCTEXT("""", ""ItemTable_11051_Name"", ""Crystal"")"
11052,"NSLOCTEXT("""", ""ItemTable_11052_Name"", ""Silverstone"")"
11053,"NSLOCTEXT("""", ""ItemTable_11053_Name"", ""Goldstone"")"
11054,"NSLOCTEXT("""", ""ItemTable_11054_Name"", ""Gold Bar"")"
11055,"NSLOCTEXT("""", ""ItemTable_11055_Name"", ""Silver Bar"")"
11056,"NSLOCTEXT("""", ""ItemTable_11056_Name"", ""Feather"")"
11057,"NSLOCTEXT("""", ""ItemTable_11057_Name"", ""Rhino Hide"")"
11058,"NSLOCTEXT("""", ""ItemTable_11058_Name"", ""Hyena Pelt"")"
11059,"NSLOCTEXT("""", ""ItemTable_11059_Name"", ""Elephant Hide"")"
11060,"NSLOCTEXT("""", ""ItemTable_11060_Name"", ""Feline Pelt"")"
11061,"NSLOCTEXT("""", ""ItemTable_11061_Name"", ""Bear Pelt"")"
11062,"NSLOCTEXT("""", ""ItemTable_11062_Name"", ""Chitin"")"
11063,"NSLOCTEXT("""", ""ItemTable_11063_Name"", ""Bat Skin"")"
11064,"NSLOCTEXT("""", ""ItemTable_11064_Name"", ""Obsidian"")"
11065,"NSLOCTEXT("""", ""ItemTable_11065_Name"", ""Silver Coin"")"
11066,"NSLOCTEXT("""", ""ItemTable_11066_Name"", ""Gold Coin"")"
11067,"NSLOCTEXT("""", ""ItemTable_11067_Name"", ""Silver Dust"")"
11068,"NSLOCTEXT("""", ""ItemTable_11068_Name"", ""Gold Dust"")"
11069,"NSLOCTEXT("""", ""ItemTable_11069_Name"", ""Wolf Pelt"")"
11070,"NSLOCTEXT("""", ""ItemTable_11070_Name"", ""Alchemical Base"")"
11071,"NSLOCTEXT("""", ""ItemTable_11071_Name"", ""Ivory"")"
11072,"NSLOCTEXT("""", ""ItemTable_11072_Name"", ""Claws"")"
11073,"NSLOCTEXT("""", ""ItemTable_11073_Name"", ""Skeleton Key"")"
11074,"NSLOCTEXT("""", ""ItemTable_11074_Name"", ""Pontoon"")"
11075,"NSLOCTEXT("""", ""ItemTable_11075_Name"", ""Coin Mold"")"
11076,"NSLOCTEXT("""", ""ItemTable_11076_Name"", ""Compost"")"
11077,"NSLOCTEXT("""", ""ItemTable_11077_Name"", ""Potent Compost"")"
11078,"NSLOCTEXT("""", ""ItemTable_11078_Name"", ""Bonemeal"")"
11079,"NSLOCTEXT("""", ""ItemTable_11079_Name"", ""Blood"")"
11080,"NSLOCTEXT("""", ""ItemTable_11080_Name"", ""Frost Lotus Flower"")"
11081,"NSLOCTEXT("""", ""ItemTable_11081_Name"", ""Frost Lotus Seeds"")"
11082,"NSLOCTEXT("""", ""ItemTable_11082_Name"", ""Yellow Lotus Seeds"")"
11083,"NSLOCTEXT("""", ""ItemTable_11083_Name"", ""Purple Lotus Flower"")"
11084,"NSLOCTEXT("""", ""ItemTable_11084_Name"", ""Purple Lotus Powder"")"
11085,"NSLOCTEXT("""", ""ItemTable_11085_Name"", ""Purple Lotus Seeds"")"
11086,"NSLOCTEXT("""", ""ItemTable_11086_Name"", ""Black Lotus Flower"")"
11087,"NSLOCTEXT("""", ""ItemTable_11087_Name"", ""Black Lotus Powder"")"
11088,"NSLOCTEXT("""", ""ItemTable_11088_Name"", ""Black Lotus Seeds"")"
11089,"NSLOCTEXT("""", ""ItemTable_11089_Name"", ""Golden Lotus Flower"")"
11090,"NSLOCTEXT("""", ""ItemTable_11090_Name"", ""Golden Lotus Seeds"")"
11091,"NSLOCTEXT("""", ""ItemTable_11091_Name"", ""Grey Lotus Flower"")"
11092,"NSLOCTEXT("""", ""ItemTable_11092_Name"", ""Grey Lotus Powder"")"
11093,"NSLOCTEXT("""", ""ItemTable_11093_Name"", ""Grey Lotus Seeds"")"
11094,"NSLOCTEXT("""", ""ItemTable_11094_Name"", ""Desert Berry-Bush Seeds"")"
11095,"NSLOCTEXT("""", ""ItemTable_11095_Name"", ""Highlands Berry-Bush Seeds"")"
11096,"NSLOCTEXT("""", ""ItemTable_11096_Name"", ""Hops Seeds"")"
11097,"NSLOCTEXT("""", ""ItemTable_11097_Name"", ""Leavening Plant Seeds"")"
11098,"NSLOCTEXT("""", ""ItemTable_11098_Name"", ""Asura\'s Glory Seeds"")"
11099,"NSLOCTEXT("""", ""ItemTable_11099_Name"", ""Midnight Blue Flower Seeds"")"
11100,"NSLOCTEXT("""", ""ItemTable_11100_Name"", ""Orange Phykos Cutting"")"
11101,"NSLOCTEXT("""", ""ItemTable_11101_Name"", ""Vines"")"
11102,"NSLOCTEXT("""", ""ItemTable_11102_Name"", ""Raw Ash"")"
11103,"NSLOCTEXT("""", ""ItemTable_11103_Name"", ""Fragment of Power"")"
11104,"NSLOCTEXT("""", ""ItemTable_11104_Name"", ""Bracelet Mold"")"
11105,"NSLOCTEXT("""", ""ItemTable_11105_Name"", ""Anklet Mold"")"
11106,"NSLOCTEXT("""", ""ItemTable_11106_Name"", ""Circlet Mold"")"
11107,"NSLOCTEXT("""", ""ItemTable_11107_Name"", ""Earring Mold"")"
11108,"NSLOCTEXT("""", ""ItemTable_11108_Name"", ""Insulated Wood"")"
11109,"NSLOCTEXT("""", ""ItemTable_11109_Name"", ""Lupin Seeds"")"
11110,"NSLOCTEXT("""", ""ItemTable_11110_Name"", ""False Mandrake Seeds"")"
11111,"NSLOCTEXT("""", ""ItemTable_11111_Name"", ""Sliver of the Unfulfilled "")"
11112,"NSLOCTEXT("""", ""ItemTable_11112_Name"", ""Armor Scraps"")"
11113,"NSLOCTEXT("""", ""ItemTable_11113_Name"", ""Aloe Seeds"")"
11114,"NSLOCTEXT("""", ""ItemTable_11114_Name"", ""Short Handle"")"
11115,"NSLOCTEXT("""", ""ItemTable_11115_Name"", ""Long Handle"")"
11116,"NSLOCTEXT("""", ""ItemTable_11116_Name"", ""Shield Frame"")"
11117,"NSLOCTEXT("""", ""ItemTable_11117_Name"", ""Sturdy String"")"
11118,"NSLOCTEXT("""", ""ItemTable_11118_Name"", ""Dagger Handle"")"
11119,"NSLOCTEXT("""", ""ItemTable_11119_Name"", ""Spear Handle"")"
11120,"NSLOCTEXT("""", ""ItemTable_11120_Name"", ""Throwing Axe Handle"")"
11121,"NSLOCTEXT("""", ""ItemTable_11121_Name"", ""Frost Lotus Powder"")"
11122,"NSLOCTEXT("""", ""ItemTable_11122_Name"", ""Yellow Lotus Powder"")"
11123,"NSLOCTEXT("""", ""ItemTable_11123_Name"", ""Golden Lotus Powder"")"
11124,"NSLOCTEXT("""", ""ItemTable_11124_Name"", ""Crimson Lotus Flower"")"
11125,"NSLOCTEXT("""", ""ItemTable_11125_Name"", ""Crimson Lotus Powder"")"
11126,"NSLOCTEXT("""", ""ItemTable_11126_Name"", ""Crimson Lotus Seeds"")"
11127,"NSLOCTEXT("""", ""ItemTable_11127_Name"", ""Albino Bat Demon Blood"")"
11128,"NSLOCTEXT("""", ""ItemTable_11128_Name"", ""True Indigo Seeds"")"
11129,"NSLOCTEXT("""", ""ItemTable_11129_Name"", ""Lance Core"")"
11500,"NSLOCTEXT("""", ""ItemTable_11500_Name"", ""Corrupted Stone"")"
11501,"NSLOCTEXT("""", ""ItemTable_11501_Name"", ""Iron Bar"")"
11502,"NSLOCTEXT("""", ""ItemTable_11502_Name"", ""Steel Bar"")"
11504,"NSLOCTEXT("""", ""ItemTable_11504_Name"", ""Scorpion Queen Venom"")"
11551,"NSLOCTEXT("""", ""ItemTable_11551_Name"", ""Glass"")"
12001,"NSLOCTEXT("""", ""ItemTable_12001_Name"", ""Plant Fiber"")"
12003,"NSLOCTEXT("""", ""ItemTable_12003_Name"", ""Gossamer"")"
12011,"NSLOCTEXT("""", ""ItemTable_12011_Name"", ""Hide"")"
12012,"NSLOCTEXT("""", ""ItemTable_12012_Name"", ""Thick Hide"")"
12013,"NSLOCTEXT("""", ""ItemTable_12013_Name"", ""Reptile Hide"")"
12511,"NSLOCTEXT("""", ""ItemTable_12511_Name"", ""Leather"")"
12512,"NSLOCTEXT("""", ""ItemTable_12512_Name"", ""Thick Leather"")"
12513,"NSLOCTEXT("""", ""ItemTable_12513_Name"", ""Silk"")"
12514,"NSLOCTEXT("""", ""ItemTable_12514_Name"", ""Ichor"")"
12515,"NSLOCTEXT("""", ""ItemTable_12515_Name"", ""Layered Silk"")"
12516,"NSLOCTEXT("""", ""ItemTable_12516_Name"", ""Hardened Leather"")"
13001,"NSLOCTEXT("""", ""ItemTable_13001_Name"", ""Feral Flesh"")"
13002,"NSLOCTEXT("""", ""ItemTable_13002_Name"", ""Savoury Flesh"")"
13003,"NSLOCTEXT("""", ""ItemTable_13003_Name"", ""Exotic Flesh"")"
13011,"NSLOCTEXT("""", ""ItemTable_13011_Name"", ""Egg"")"
13012,"NSLOCTEXT("""", ""ItemTable_13012_Name"", ""Fat Grub"")"
13013,"NSLOCTEXT("""", ""ItemTable_13013_Name"", ""Handful of Insects"")"
13014,"NSLOCTEXT("""", ""ItemTable_13014_Name"", ""Small Scorpion"")"
13015,"NSLOCTEXT("""", ""ItemTable_13015_Name"", ""Seeds"")"
13051,"NSLOCTEXT("""", ""ItemTable_13051_Name"", ""Human Flesh"")"
13052,"NSLOCTEXT("""", ""ItemTable_13052_Name"", ""Eyes of Innocence"")"
13053,"NSLOCTEXT("""", ""ItemTable_13053_Name"", ""Cooked Human Flesh"")"
13501,"NSLOCTEXT("""", ""ItemTable_13501_Name"", ""Shredded Roast"")"
13502,"NSLOCTEXT("""", ""ItemTable_13502_Name"", ""Grilled Steak"")"
13503,"NSLOCTEXT("""", ""ItemTable_13503_Name"", ""Roasted Haunch"")"
13540,"NSLOCTEXT("""", ""ItemTable_13540_Name"", ""Gruel"")"
13550,"NSLOCTEXT("""", ""ItemTable_13550_Name"", ""Devil\'s Bonemeal"")"
13597,"NSLOCTEXT("""", ""ItemTable_13597_Name"", ""Spoiled Gruel"")"
13598,"NSLOCTEXT("""", ""ItemTable_13598_Name"", ""Rotten Devil\'s Bonemeal"")"
13599,"NSLOCTEXT("""", ""ItemTable_13599_Name"", ""Putrid Meat"")"
13600,"NSLOCTEXT("""", ""ItemTable_13600_Name"", ""Cooked Abysmal Meat"")"
13601,"NSLOCTEXT("""", ""ItemTable_13601_Name"", ""Arena Ritual Offering"")"
14001,"NSLOCTEXT("""", ""ItemTable_14001_Name"", ""Aloe Leaves"")"
14101,"NSLOCTEXT("""", ""ItemTable_14101_Name"", ""Serpent Venom Gland"")"
14102,"NSLOCTEXT("""", ""ItemTable_14102_Name"", ""Sand Reaper Toxin Gland"")"
14103,"NSLOCTEXT("""", ""ItemTable_14103_Name"", ""Scorpion Queen Venom Gland"")"
14149,"NSLOCTEXT("""", ""ItemTable_14149_Name"", ""Hanuman\'s Gift"")"
14150,"NSLOCTEXT("""", ""ItemTable_14150_Name"", ""Potion of Lost Souls"")"
14151,"NSLOCTEXT("""", ""ItemTable_14151_Name"", ""Yellow Lotus Blossom"")"
14152,"NSLOCTEXT("""", ""ItemTable_14152_Name"", ""Composite Obsidian"")"
14155,"NSLOCTEXT("""", ""ItemTable_14155_Name"", ""Supply Materials"")"
14156,"NSLOCTEXT("""", ""ItemTable_14156_Name"", ""Supply Materials"")"
14157,"NSLOCTEXT("""", ""ItemTable_14157_Name"", ""Supply Materials"")"
14158,"NSLOCTEXT("""", ""ItemTable_14158_Name"", ""Supply Materials"")"
14171,"NSLOCTEXT("""", ""ItemTable_14171_Name"", ""Brimstone"")"
14172,"NSLOCTEXT("""", ""ItemTable_14172_Name"", ""Tar"")"
14173,"NSLOCTEXT("""", ""ItemTable_14173_Name"", ""Steelfire"")"
14174,"NSLOCTEXT("""", ""ItemTable_14174_Name"", ""Twine"")"
14175,"NSLOCTEXT("""", ""ItemTable_14175_Name"", ""Dead Woman\'s Hair"")"
14181,"NSLOCTEXT("""", ""ItemTable_14181_Name"", ""Tomb Dust"")"
14182,"NSLOCTEXT("""", ""ItemTable_14182_Name"", ""Demon Blood"")"
14183,"NSLOCTEXT("""", ""ItemTable_14183_Name"", ""Dragonpowder"")"
14184,"NSLOCTEXT("""", ""ItemTable_14184_Name"", ""Powder of Corruption"")"
14185,"NSLOCTEXT("""", ""ItemTable_14185_Name"", ""Abysmal Eye"")"
14186,"NSLOCTEXT("""", ""ItemTable_14186_Name"", ""Abysmal Fang"")"
14187,"NSLOCTEXT("""", ""ItemTable_14187_Name"", ""Abysmal Flesh"")"
14190,"NSLOCTEXT("""", ""ItemTable_14190_Name"", ""Grey-flower Lupine"")"
14191,"NSLOCTEXT("""", ""ItemTable_14191_Name"", ""True Indigo"")"
14192,"NSLOCTEXT("""", ""ItemTable_14192_Name"", ""Orange Phykos"")"
14193,"NSLOCTEXT("""", ""ItemTable_14193_Name"", ""Cochineal"")"
14194,"NSLOCTEXT("""", ""ItemTable_14194_Name"", ""False Mandrake"")"
14195,"NSLOCTEXT("""", ""ItemTable_14195_Name"", ""Glowing Goop"")"
14196,"NSLOCTEXT("""", ""ItemTable_14196_Name"", ""Sandbeast Bile Gland"")"
14197,"NSLOCTEXT("""", ""ItemTable_14197_Name"", ""Glowing Essence"")"
14199,"NSLOCTEXT("""", ""ItemTable_14199_Name"", ""Asura\'s Glory"")"
14200,"NSLOCTEXT("""", ""ItemTable_14200_Name"", ""Glass Flask"")"
14201,"NSLOCTEXT("""", ""ItemTable_14201_Name"", ""Water-filled Glass Flask"")"
14601,"NSLOCTEXT("""", ""ItemTable_14601_Name"", ""Glass Flask Mold"")"
14999,"NSLOCTEXT("""", ""ItemTable_14999_Name"", ""Withered Heart"")"
15001,"NSLOCTEXT("""", ""ItemTable_15001_Name"", ""Human Heart"")"
15002,"NSLOCTEXT("""", ""ItemTable_15002_Name"", ""Unblemished Human Meat"")"
15003,"NSLOCTEXT("""", ""ItemTable_15003_Name"", ""Lingering Essence"")"
15004,"NSLOCTEXT("""", ""ItemTable_15004_Name"", ""Sacred Blood"")"
15051,"NSLOCTEXT("""", ""ItemTable_15051_Name"", ""XX_Yog Favor"")"
15052,"NSLOCTEXT("""", ""ItemTable_15052_Name"", ""XX_Set Favor"")"
15053,"NSLOCTEXT("""", ""ItemTable_15053_Name"", ""XX_Mitra Favor"")"
15054,"NSLOCTEXT("""", ""ItemTable_15054_Name"", ""xx_Ymir_Favor"")"
15101,"NSLOCTEXT("""", ""ItemTable_15101_Name"", ""XX_Yog Tribute"")"
15102,"NSLOCTEXT("""", ""ItemTable_15102_Name"", ""XX_Set Tribute"")"
15501,"NSLOCTEXT("""", ""ItemTable_15501_Name"", ""Heart of a Hero"")"
15502,"NSLOCTEXT("""", ""ItemTable_15502_Name"", ""Ancient Rhino Horn"")"
15503,"NSLOCTEXT("""", ""ItemTable_15503_Name"", ""Ancient Key"")"
15504,"NSLOCTEXT("""", ""ItemTable_15504_Name"", ""Heart of the Kinscourge"")"
15505,"NSLOCTEXT("""", ""ItemTable_15505_Name"", ""Staff of the Triumvirate"")"
15506,"NSLOCTEXT("""", ""ItemTable_15506_Name"", ""Awakened Staff of the Triumvirate"")"
15507,"NSLOCTEXT("""", ""ItemTable_15507_Name"", ""Diadem of the Giant-kings"")"
15508,"NSLOCTEXT("""", ""ItemTable_15508_Name"", ""Mask of the Witch Queen"")"
15509,"NSLOCTEXT("""", ""ItemTable_15509_Name"", ""Tears of Two Races"")"
15510,"NSLOCTEXT("""", ""ItemTable_15510_Name"", ""The Shining Trapezohedron"")"
15511,"NSLOCTEXT("""", ""ItemTable_15511_Name"", ""Star of the Champion"")"
15512,"NSLOCTEXT("""", ""ItemTable_15512_Name"", ""Heart of the Sands (Scourgestone)"")"
15513,"NSLOCTEXT("""", ""ItemTable_15513_Name"", ""Essence of the Serpent Ring"")"
15514,"NSLOCTEXT("""", ""ItemTable_15514_Name"", ""Jagged Scourgestone Piece"")"
15515,"NSLOCTEXT("""", ""ItemTable_15515_Name"", ""Shattered Scourgestone Piece"")"
15516,"NSLOCTEXT("""", ""ItemTable_15516_Name"", ""Broken Scourgestone Piece"")"
15517,"NSLOCTEXT("""", ""ItemTable_15517_Name"", ""The Keystone"")"
15518,"NSLOCTEXT("""", ""ItemTable_15518_Name"", ""Key to Razma\'s Quarters"")"
16001,"NSLOCTEXT("""", ""ItemTable_16001_Name"", ""Stone Consolidant"")"
16002,"NSLOCTEXT("""", ""ItemTable_16002_Name"", ""Iron Reinforcement"")"
16003,"NSLOCTEXT("""", ""ItemTable_16003_Name"", ""Steel Reinforcement"")"
16011,"NSLOCTEXT("""", ""ItemTable_16011_Name"", ""Brick"")"
16012,"NSLOCTEXT("""", ""ItemTable_16012_Name"", ""Hardened Brick"")"
16021,"NSLOCTEXT("""", ""ItemTable_16021_Name"", ""Shaped Wood"")"
17001,"NSLOCTEXT("""", ""ItemTable_17001_Name"", ""Dark Dye Colorant"")"
17002,"NSLOCTEXT("""", ""ItemTable_17002_Name"", ""Light Dye Colorant"")"
17010,"NSLOCTEXT("""", ""ItemTable_17010_Name"", ""Brown Dye"")"
17011,"NSLOCTEXT("""", ""ItemTable_17011_Name"", ""Light Brown Dye"")"
17012,"NSLOCTEXT("""", ""ItemTable_17012_Name"", ""Dark Brown Dye"")"
17020,"NSLOCTEXT("""", ""ItemTable_17020_Name"", ""Grey Dye"")"
17021,"NSLOCTEXT("""", ""ItemTable_17021_Name"", ""Light Grey Dye"")"
17022,"NSLOCTEXT("""", ""ItemTable_17022_Name"", ""Dark Grey Dye"")"
17030,"NSLOCTEXT("""", ""ItemTable_17030_Name"", ""Cyan Dye"")"
17031,"NSLOCTEXT("""", ""ItemTable_17031_Name"", ""Light Cyan Dye"")"
17032,"NSLOCTEXT("""", ""ItemTable_17032_Name"", ""Dark Cyan Dye"")"
17040,"NSLOCTEXT("""", ""ItemTable_17040_Name"", ""Red Dye"")"
17041,"NSLOCTEXT("""", ""ItemTable_17041_Name"", ""Light Red Dye"")"
17042,"NSLOCTEXT("""", ""ItemTable_17042_Name"", ""Dark Red Dye"")"
17050,"NSLOCTEXT("""", ""ItemTable_17050_Name"", ""Blue Dye"")"
